Site_code,Name,Eastings,Northings,Grid,Latitude,Longitude,Elevation,Survey,Catchment
DCEH1,Lower Hafren headstream,284287,287756,SN8428787756,52.475429,-3.7050863,357,Plylimon,Severn
DCEH2,Gwy headstream,282425,285381,SN8242585381,52.453689,-3.7316493,395,Plylimon,Wye
DCEH3,Nant Pen y Cwm,304869,305870,SJ0486905870,52.642201,-3.4073661,238,Pontbren,Severn
DCEH4,Nant Gelli Gethin,304895,306503,SJ0489506503,52.647895,-3.4071647,288,Pontbren,Severn
DLBC1,CI1,276268,257632,SN7626857632,52.202985,-3.8119857,370,Llyn Brianne,Tywi
DLBC2,CI2,276379,257381,SN7637957381,52.200755,-3.8102706,373,Llyn Brianne,Tywi
DLBC4,CI4,277065,256513,SN7706556513,52.193108,-3.799923,364,Llyn Brianne,Tywi
DLBC5,CI5,277454,255697,SN7745455697,52.185862,-3.7939398,350,Llyn Brianne,Tywi
DLBG1,GI1,273821,246620,SN7382146620,52.103478,-3.8436785,216,Llyn Brianne,Tywi
DLBG2,GI2,273052,246552,SN7305246552,52.102691,-3.8548745,245,Llyn Brianne,Tywi
DLBL1,LI1,280871,252985,SN8087152985,52.162241,-3.7430304,303,Llyn Brianne,Tywi
DLBL2,LI2,281060,251643,SN8106051643,52.150222,-3.7397983,307,Llyn Brianne,Tywi
DLBL3,LI3,281384,250799,SN8138450799,52.142707,-3.7347703,344,Llyn Brianne,Tywi
DLBL6,LI6,282143,249685,SN8214349685,52.132859,-3.7232978,326,Llyn Brianne,Tywi
DLBL7,LI7,281833,249308,SN8183349308,52.129405,-3.7276936,330,Llyn Brianne,Tywi
DLBL8,LI8,280313,249010,SN8031349010,52.1264,-3.7497828,322,Llyn Brianne,Tywi
DSJO01,Bidno conf Wye,289307,280484,SN8930780484,52.411122,-3.6287965,290,Wye,Wye
DSJO02,Tarenig,284000,282600,SN8400082600,52.429036,-3.7075162,317,Wye,Wye
DSJO03,Irfon at Abergwesyn,285400,252500,SN8540052500,52.158842,-3.6766859,258,Wye,Wye
DSJO04,Elan,296500,265600,SN9650065600,52.278769,-3.5184979,183,Wye,Wye
DSJO05,Wye at Tarenig,284100,282700,SN8410082700,52.429956,-3.7060808,328,Wye,Wye
DSJO06,Wye at Marteg,295100,271500,SN9510071500,52.331527,-3.5408511,332,Wye,Wye
DSJO07,Upper Chwefru,297300,256300,SN9730056300,52.195338,-3.5039473,208,Wye,Wye
DSJO08,Upper Garth Dulas,294716,253135,SN9471653135,52.166406,-3.5407537,226,Wye,Wye
DSJO09,Wye at Newbridge,301400,258300,SO0140058300,52.214063,-3.4445673,169,Wye,Wye
DSJO10,Wye at Rhyader,296800,267500,SN9680067500,52.295901,-3.5146847,194,Wye,Wye
DSJO11,Hirnant,299160,256945,SN9916056945,52.201479,-3.4769371,203,Wye,Wye
DSJO12,Marteg,295318,271462,SN9531871462,52.331227,-3.5376413,236,Wye,Wye
DSJO13,Lower Cammarch,293400,247300,SN9340047300,52.113713,-3.5581552,173,Wye,Wye
DSJO14,Irfon a Builth,303300,251700,SO0330051700,52.155081,-3.4148828,126,Wye,Wye
DSJO15,Lower Garth Dulas,294900,249400,SN9490049400,52.132874,-3.5369078,164,Wye,Wye
DSJO16,Sgithwen Brook,311242,241436,SO1124241436,52.064162,-3.2961493,111,Wye,Wye
DSJO17,Lower Chwefri,299726,253198,SN9972653198,52.167906,-3.4675487,201,Wye,Wye
DSJO18,Clywedog Brook,308391,265069,SO0839165069,52.276109,-3.3441136,205,Wye,Wye
DSJO19,Wye at Glasbury,318000,239200,SO1800039200,52.045106,-3.1970554,108,Wye,Wye
DSJO20,South Dulas,291862,246857,SN9186246857,52.109433,-3.5804655,177,Wye,Wye
DSJO21,Lower Duhonw,306200,250800,SO0620050800,52.147493,-3.372258,121,Wye,Wye
DSJO22,Ithon at Llandewi,310458,268305,SO1045868305,52.305535,-3.3146878,235,Wye,Wye
